No;Nama;Rating;Review;Link
43;keyboard gaming and mouse set mechanical rgb led combo kable SHIPADOO-D280/keyboard;5;Barang nya bagus;https://shopee.co.id/keyboard-gaming-and-mouse-set-mechanical-rgb-led-combo-kable-SHIPADOO-D280-keyboard-mouse-set-gaming-mechanical-rgb-led-mouse-keyboard-gaming-set--i.69532627.1816477629?sp_atk=d4e2ac60-e1b2-4bf8-83a5-098ea7019f23&xptdk=d4e2ac60-e1b2-4bf8-83a5-098ea7019f25
44;keyboard gaming and mouse set mechanical rgb led combo kable SHIPADOO-D280/keyboard;5;Keyboardnya oke buat ngias meja. suara ketikannya juga pas, worth it harga udah dapet mouse juga;https://shopee.co.id/keyboard-gaming-and-mouse-set-mechanical-rgb-led-combo-kable-SHIPADOO-D280-keyboard-mouse-set-gaming-mechanical-rgb-led-mouse-keyboard-gaming-set--i.69532627.1816477629?sp_atk=d4e2ac60-e1b2-4bf8-83a5-098ea7019f23&xptdk=d4e2ac60-e1b2-4bf8-83a5-098ea7019f26
45;keyboard gaming and mouse set mechanical rgb led combo kable SHIPADOO-D280/keyboard;4;Barang Sesuai harga , suka sih cuman sayang kabel nya pendek tpi sampai sini bagus;https://shopee.co.id/keyboard-gaming-and-mouse-set-mechanical-rgb-led-combo-kable-SHIPADOO-D280-keyboard-mouse-set-gaming-mechanical-rgb-led-mouse-keyboard-gaming-set--i.69532627.1816477629?sp_atk=d4e2ac60-e1b2-4bf8-83a5-098ea7019f23&xptdk=d4e2ac60-e1b2-4bf8-83a5-098ea7019f27
46;keyboard gaming and mouse set mechanical rgb led combo kable SHIPADOO-D280/keyboard;4;Bagus cuman ada sobekan dikit di kotaknya dan kekurangannya yaitu kalau PC udh di shutdow tetap menyala LED pada mouse itu aja sih sama mecanical ya gak kedengaran sedikit saja;https://shopee.co.id/keyboard-gaming-and-mouse-set-mechanical-rgb-led-combo-kable-SHIPADOO-D280-keyboard-mouse-set-gaming-mechanical-rgb-led-mouse-keyboard-gaming-set--i.69532627.1816477629?sp_atk=d4e2ac60-e1b2-4bf8-83a5-098ea7019f23&xptdk=d4e2ac60-e1b2-4bf8-83a5-098ea7019f28
47;keyboard gaming and mouse set mechanical rgb led combo kable SHIPADOO-D280/keyboard;4;Keren, sebanding dengan harganya, ga berharap lebih juga di harga yang segini;https://shopee.co.id/keyboard-gaming-and-mouse-set-mechanical-rgb-led-combo-kable-SHIPADOO-D280-keyboard-mouse-set-gaming-mechanical-rgb-led-mouse-keyboard-gaming-set--i.69532627.1816477629?sp_atk=d4e2ac60-e1b2-4bf8-83a5-098ea7019f23&xptdk=d4e2ac60-e1b2-4bf8-83a5-098ea7019f29
48;keyboard gaming and mouse set mechanical rgb led combo kable SHIPADOO-D280/keyboard;4;Oke sejauh ini aman, mayan laah moga awet dipake game ekstrim;https://shopee.co.id/keyboard-gaming-and-mouse-set-mechanical-rgb-led-combo-kable-SHIPADOO-D280-keyboard-mouse-set-gaming-mechanical-rgb-led-mouse-keyboard-gaming-set--i.69532627.1816477629?sp_atk=d4e2ac60-e1b2-4bf8-83a5-098ea7019f23&xptdk=d4e2ac60-e1b2-4bf8-83a5-098ea7019f30
49;keyboard gaming and mouse set mechanical rgb led combo kable SHIPADOO-D280/keyboard;3;Kecepatan kirimnya lumayan bagus, tapi saat sampai saya buka ada patah sedikit di belakang. Overall bagus sih..;https://shopee.co.id/keyboard-gaming-and-mouse-set-mechanical-rgb-led-combo-kable-SHIPADOO-D280-keyboard-mouse-set-gaming-mechanical-rgb-led-mouse-keyboard-gaming-set--i.69532627.1816477629?sp_atk=d4e2ac60-e1b2-4bf8-83a5-098ea7019f23&xptdk=d4e2ac60-e1b2-4bf8-83a5-098ea7019f31
50;keyboard gaming and mouse set mechanical rgb led combo kable SHIPADOO-D280/keyboard;3;Buat harga segitu lumayan lah keren kok , tapi ada bagian yang pecah lain kali harus lebih teliti lagi yah kak , selebih nya ok kok;https://shopee.co.id/keyboard-gaming-and-mouse-set-mechanical-rgb-led-combo-kable-SHIPADOO-D280-keyboard-mouse-set-gaming-mechanical-rgb-led-mouse-keyboard-gaming-set--i.69532627.1816477629?sp_atk=d4e2ac60-e1b2-4bf8-83a5-098ea7019f23&xptdk=d4e2ac60-e1b2-4bf8-83a5-098ea7019f32
51;keyboard gaming and mouse set mechanical rgb led combo kable SHIPADOO-D280/keyboard;3;Akhirnya saya bawa ke tmpt perbaiki LG, trus bagian dalam keyboard banyak yg retak, semoga toko lebih memperhatikan LG barang saat akan di kirim;https://shopee.co.id/keyboard-gaming-and-mouse-set-mechanical-rgb-led-combo-kable-SHIPADOO-D280-keyboard-mouse-set-gaming-mechanical-rgb-led-mouse-keyboard-gaming-set--i.69532627.1816477629?sp_atk=d4e2ac60-e1b2-4bf8-83a5-098ea7019f23&xptdk=d4e2ac60-e1b2-4bf8-83a5-098ea7019f33
52;keyboard gaming and mouse set mechanical rgb led combo kable SHIPADOO-D280/keyboard;3;Pengiriman ok, Tetapi ada tombol Ctrl yang lepas dan di pasang bisa tapi kalau di pencet tidak bisa balik lagi ......;https://shopee.co.id/keyboard-gaming-and-mouse-set-mechanical-rgb-led-combo-kable-SHIPADOO-D280-keyboard-mouse-set-gaming-mechanical-rgb-led-mouse-keyboard-gaming-set--i.69532627.1816477629?sp_atk=d4e2ac60-e1b2-4bf8-83a5-098ea7019f23&xptdk=d4e2ac60-e1b2-4bf8-83a5-098ea7019f34
